Date,Description,Amount
2025-01-03,Salary Credit,50000
2025-01-04,House Rent,12000
2025-01-06,BigBasket Grocery,3200
2025-01-08,Uber Ride,420
2025-01-10,Swiggy Order,550
2025-01-12,Electricity Bill,1800
2025-01-15,Amazon Shopping,2100
2025-01-18,Jio Mobile Recharge,399
2025-01-21,Apollo Pharmacy,780
2025-01-25,BookMyShow Movie,450
2025-02-03,Salary Credit,50000
2025-02-04,House Rent,12000
2025-02-06,Blinkit Grocery,3400
2025-02-08,Ola Ride,390
2025-02-10,Zomato Order,620
2025-02-12,Water Bill,700
2025-02-14,Flipkart Shopping,2500
2025-02-18,Airtel Recharge,399
2025-02-21,Netmeds Medicine,860
2025-02-26,Netflix Subscription,649
2025-03-03,Salary Credit,50000
2025-03-04,House Rent,12000
2025-03-06,Zepto Grocery,3600
2025-03-08,Uber Ride,460
2025-03-10,Swiggy Order,700
2025-03-12,Gas Cylinder,1100
2025-03-15,Amazon Shopping,2900
2025-03-18,WiFi Broadband,899
2025-03-21,Clinic Visit,1200
2025-03-27,Spotify Subscription,119
2025-04-03,Salary Credit,50000
2025-04-04,House Rent,12500
2025-04-06,Blinkit Grocery,3700
2025-04-08,Metro Card Recharge,500
2025-04-10,Zomato Order,760
2025-04-12,Electricity Bill,2100
2025-04-15,Myntra Shopping,3200
2025-04-18,Jio Mobile Recharge,399
2025-04-22,Apollo Pharmacy,980
2025-04-26,Prime Video Subscription,299
2025-05-03,Salary Credit,50000
2025-05-04,House Rent,12500
2025-05-06,BigBasket Grocery,3900
2025-05-08,Ola Ride,520
2025-05-10,Swiggy Order,850
2025-05-12,Water Bill,760
2025-05-16,Amazon Shopping,3400
2025-05-18,WiFi Broadband,899
2025-05-22,Hospital Lab Test,1500
2025-05-28,BookMyShow Movie,520
2025-06-03,Salary Credit,52000
2025-06-04,House Rent,13000
2025-06-06,Zepto Grocery,4100
2025-06-08,Uber Ride,560
2025-06-10,Zomato Order,920
2025-06-12,Electricity Bill,2300
2025-06-16,Flipkart Shopping,3600
2025-06-18,Airtel Recharge,455
2025-06-22,Pharmacy Purchase,1100
2025-06-27,Netflix Subscription,649
2025-07-03,Salary Credit,52000
2025-07-04,House Rent,13000
2025-07-06,Blinkit Grocery,4300
2025-07-08,Metro Card Recharge,550
2025-07-10,Swiggy Order,980
2025-07-12,Gas Cylinder,1200
2025-07-16,Amazon Shopping,4100
2025-07-18,Jio Mobile Recharge,455
2025-07-22,Clinic Visit,1450
2025-07-28,Spotify Subscription,119
2025-08-03,Salary Credit,52000
2025-08-04,House Rent,13500
2025-08-06,BigBasket Grocery,4500
2025-08-08,Ola Ride,600
2025-08-10,Zomato Order,1050
2025-08-12,Water Bill,820
2025-08-16,Myntra Shopping,4300
2025-08-18,WiFi Broadband,999
2025-08-22,Apollo Pharmacy,1320
2025-08-27,Prime Video Subscription,299
2025-09-03,Salary Credit,55000
2025-09-04,House Rent,14000
2025-09-06,Zepto Grocery,4700
2025-09-08,Uber Ride,650
2025-09-10,Swiggy Order,1120
2025-09-12,Electricity Bill,2500
2025-09-16,Amazon Shopping,4600
2025-09-18,Airtel Recharge,499
2025-09-22,Hospital Consultation,1700
2025-09-29,BookMyShow Movie,600
2025-10-03,Salary Credit,55000
2025-10-04,House Rent,14000
2025-10-06,Blinkit Grocery,4900
2025-10-08,Metro Card Recharge,700
2025-10-10,Zomato Order,1200
2025-10-12,Gas Cylinder,1250
2025-10-16,Flipkart Shopping,4800
2025-10-18,Jio Mobile Recharge,499
2025-10-22,Pharmacy Purchase,1500
2025-10-28,Netflix Subscription,649
2025-11-03,Salary Credit,55000
2025-11-04,House Rent,14500
2025-11-06,BigBasket Grocery,5100
2025-11-08,Ola Ride,720
2025-11-10,Swiggy Order,1320
2025-11-12,Electricity Bill,2700
2025-11-16,Amazon Shopping,5200
2025-11-18,WiFi Broadband,999
2025-11-22,Clinic Visit,1800
2025-11-29,Spotify Subscription,119
2025-12-03,Salary Credit,58000
2025-12-04,House Rent,15000
2025-12-06,Zepto Grocery,5400
2025-12-08,Uber Ride,780
2025-12-10,Zomato Order,1480
2025-12-12,Water Bill,900
2025-12-16,Myntra Shopping,5600
2025-12-18,Airtel Recharge,549
2025-12-22,Hospital Lab Test,2100
2025-12-30,Prime Video Subscription,299
